xmasYear,day,hour,Fatal,Serious
0,1 Jan,22,0,1
0,1 Jan,23,1,1
0,2 Jan,0,0,2
0,2 Jan,1,3,2
0,2 Jan,2,0,2
0,2 Jan,3,0,1
0,2 Jan,4,0,1
0,2 Jan,5,2,2
0,2 Jan,6,0,2
0,2 Jan,7,0,2
0,2 Jan,8,0,3
0,2 Jan,9,0,2
0,2 Jan,10,0,4
0,2 Jan,11,1,1
0,2 Jan,12,4,6
0,2 Jan,13,0,9
0,2 Jan,14,1,5
0,2 Jan,15,2,11
0,2 Jan,16,0,13
0,2 Jan,17,0,5
0,2 Jan,18,0,2
0,2 Jan,19,1,8
0,2 Jan,20,2,1
0,2 Jan,21,0,5
0,2 Jan,22,1,2
0,2 Jan,23,1,6
0,3 Jan,0,1,0
0,3 Jan,1,1,3
0,3 Jan,2,0,1
0,3 Jan,3,0,0
0,3 Jan,4,2,0
0,3 Jan,5,1,0
0,3 Jan,6,0,0
0,3 Jan,7,0,2
0,3 Jan,8,0,3
0,3 Jan,9,0,0
0,3 Jan,10,1,2
0,3 Jan,11,0,4
0,3 Jan,12,2,4
0,3 Jan,13,1,6
0,3 Jan,14,0,2
0,3 Jan,15,0,2
0,3 Jan,16,1,5
0,3 Jan,17,1,5
0,3 Jan,18,0,2
0,3 Jan,19,1,2
0,3 Jan,20,0,2
0,3 Jan,21,0,1
0,3 Jan,22,2,3
0,3 Jan,23,0,0
0,4 Jan,0,0,1
0,4 Jan,1,0,2
0,4 Jan,2,0,2
0,4 Jan,3,0,1
0,4 Jan,4,0,0
0,4 Jan,5,0,1
0,4 Jan,6,0,2
0,4 Jan,7,0,0
0,4 Jan,8,1,0
0,4 Jan,9,1,3
0,4 Jan,10,0,1
0,4 Jan,11,0,5
0,4 Jan,12,0,1
0,4 Jan,13,0,0
0,4 Jan,14,0,4
0,4 Jan,15,0,2
0,4 Jan,16,1,3
0,4 Jan,17,0,1
0,4 Jan,18,0,2
0,4 Jan,19,1,1
0,4 Jan,20,0,1
0,4 Jan,21,1,0
0,4 Jan,22,0,1
0,4 Jan,23,0,1
0,5 Jan,0,1,0
0,5 Jan,1,1,1
0,5 Jan,2,0,0
0,5 Jan,3,0,0
0,5 Jan,4,0,0
0,5 Jan,5,1,0
